Total de combinacoes no grid: 162
[1/162] cv_auc=0.857809 +/- 0.003539 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[13/162] cv_auc=0.858633 +/- 0.002157 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[14/162] cv_auc=0.857652 +/- 0.002906 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[15/162] cv_auc=0.858495 +/- 0.002379 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[16/162] cv_auc=0.857721 +/- 0.002631 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[17/162] cv_auc=0.859090 +/- 0.002669 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[18/162] cv_auc=0.857487 +/- 0.002800 params={'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[19/162] cv_auc=0.861902 +/- 0.003054 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[20/162] cv_auc=0.859975 +/- 0.003035 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[21/162] cv_auc=0.866827 +/- 0.001646 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[22/162] cv_auc=0.866459 +/- 0.002561 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[23/162] cv_auc=0.869370 +/- 0.002024 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[24/162] cv_auc=0.868120 +/- 0.002177 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[25/162] cv_auc=0.865253 +/- 0.002531 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[26/162] cv_auc=0.865795 +/- 0.001974 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[27/162] cv_auc=0.866799 +/- 0.002059 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[28/162] cv_auc=0.867146 +/- 0.002208 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[29/162] cv_auc=0.869370 +/- 0.002024 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[30/162] cv_auc=0.868120 +/- 0.002177 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[31/162] cv_auc=0.868105 +/- 0.001189 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[32/162] cv_auc=0.867551 +/- 0.001499 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[33/162] cv_auc=0.868026 +/- 0.001853 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[34/162] cv_auc=0.868164 +/- 0.001987 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[35/162] cv_auc=0.868059 +/- 0.001715 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[36/162] cv_auc=0.867796 +/- 0.002695 params={'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[37/162] cv_auc=0.866179 +/- 0.001890 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[38/162] cv_auc=0.866550 +/- 0.001579 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[39/162] cv_auc=0.869720 +/- 0.001534 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[40/162] cv_auc=0.868638 +/- 0.001688 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[41/162] cv_auc=0.868933 +/- 0.001244 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[42/162] cv_auc=0.868138 +/- 0.001907 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[43/162] cv_auc=0.867364 +/- 0.001759 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[44/162] cv_auc=0.868363 +/- 0.000384 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[45/162] cv_auc=0.869154 +/- 0.001176 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[46/162] cv_auc=0.868431 +/- 0.001312 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[47/162] cv_auc=0.868933 +/- 0.001244 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[48/162] cv_auc=0.868138 +/- 0.001907 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[49/162] cv_auc=0.868819 +/- 0.001506 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[50/162] cv_auc=0.868942 +/- 0.001611 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[51/162] cv_auc=0.868352 +/- 0.001350 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[52/162] cv_auc=0.869056 +/- 0.001482 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[53/162] cv_auc=0.868096 +/- 0.001928 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[54/162] cv_auc=0.868278 +/- 0.002040 params={'n_estimators': 100, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[55/162] cv_auc=0.858353 +/- 0.003114 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[56/162] cv_auc=0.857429 +/- 0.003306 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[57/162] cv_auc=0.858937 +/- 0.002555 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[58/162] cv_auc=0.857420 +/- 0.002714 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[59/162] cv_auc=0.859372 +/- 0.002731 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[60/162] cv_auc=0.858344 +/- 0.002420 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[61/162] cv_auc=0.858464 +/- 0.002801 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[62/162] cv_auc=0.857466 +/- 0.002899 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[63/162] cv_auc=0.858937 +/- 0.002977 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[64/162] cv_auc=0.857700 +/- 0.002927 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[65/162] cv_auc=0.859372 +/- 0.002731 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[66/162] cv_auc=0.858344 +/- 0.002420 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[67/162] cv_auc=0.859133 +/- 0.002356 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[68/162] cv_auc=0.857834 +/- 0.003028 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[69/162] cv_auc=0.858962 +/- 0.002645 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[70/162] cv_auc=0.857836 +/- 0.002780 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[71/162] cv_auc=0.859631 +/- 0.002529 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[72/162] cv_auc=0.858117 +/- 0.002780 params={'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[73/162] cv_auc=0.864132 +/- 0.002944 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[74/162] cv_auc=0.862109 +/- 0.002741 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[75/162] cv_auc=0.868542 +/- 0.001439 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[76/162] cv_auc=0.868304 +/- 0.001892 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[77/162] cv_auc=0.870245 +/- 0.001840 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[78/162] cv_auc=0.869196 +/- 0.001879 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[79/162] cv_auc=0.867174 +/- 0.002257 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[80/162] cv_auc=0.867536 +/- 0.001952 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[81/162] cv_auc=0.868619 +/- 0.001894 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[82/162] cv_auc=0.868692 +/- 0.001614 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[83/162] cv_auc=0.870245 +/- 0.001840 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[84/162] cv_auc=0.869196 +/- 0.001879 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[85/162] cv_auc=0.869621 +/- 0.001301 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[86/162] cv_auc=0.869081 +/- 0.001673 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[87/162] cv_auc=0.869784 +/- 0.001652 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[88/162] cv_auc=0.869423 +/- 0.002061 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[89/162] cv_auc=0.869437 +/- 0.001929 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[90/162] cv_auc=0.868882 +/- 0.002159 params={'n_estimators': 200, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[91/162] cv_auc=0.869317 +/- 0.000952 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[92/162] cv_auc=0.869646 +/- 0.001019 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[93/162] cv_auc=0.871248 +/- 0.001453 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[94/162] cv_auc=0.870541 +/- 0.001268 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[95/162] cv_auc=0.870749 +/- 0.001216 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[96/162] cv_auc=0.869513 +/- 0.001655 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[97/162] cv_auc=0.869933 +/- 0.000962 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[98/162] cv_auc=0.870492 +/- 0.000711 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[99/162] cv_auc=0.870516 +/- 0.001399 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[100/162] cv_auc=0.870232 +/- 0.001194 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[101/162] cv_auc=0.870749 +/- 0.001216 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[102/162] cv_auc=0.869513 +/- 0.001655 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[103/162] cv_auc=0.870276 +/- 0.001147 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[104/162] cv_auc=0.870558 +/- 0.001279 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[105/162] cv_auc=0.870295 +/- 0.001165 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[106/162] cv_auc=0.870558 +/- 0.001338 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[107/162] cv_auc=0.869765 +/- 0.001397 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[108/162] cv_auc=0.869565 +/- 0.001832 params={'n_estimators': 200, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[109/162] cv_auc=0.858544 +/- 0.002932 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[110/162] cv_auc=0.857364 +/- 0.003172 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[111/162] cv_auc=0.859055 +/- 0.002647 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[112/162] cv_auc=0.857868 +/- 0.002784 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[113/162] cv_auc=0.859595 +/- 0.002650 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[114/162] cv_auc=0.858477 +/- 0.002707 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[115/162] cv_auc=0.859042 +/- 0.002763 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[116/162] cv_auc=0.857713 +/- 0.002884 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[117/162] cv_auc=0.859223 +/- 0.002884 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[118/162] cv_auc=0.857951 +/- 0.002909 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[119/162] cv_auc=0.859595 +/- 0.002650 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[120/162] cv_auc=0.858477 +/- 0.002707 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[121/162] cv_auc=0.859346 +/- 0.002607 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[122/162] cv_auc=0.857974 +/- 0.002936 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[123/162] cv_auc=0.859440 +/- 0.002711 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[124/162] cv_auc=0.858050 +/- 0.002770 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[125/162] cv_auc=0.859805 +/- 0.002595 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[126/162] cv_auc=0.858292 +/- 0.002809 params={'n_estimators': 400, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[127/162] cv_auc=0.865354 +/- 0.002814 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[128/162] cv_auc=0.863240 +/- 0.002965 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[129/162] cv_auc=0.869468 +/- 0.001657 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[130/162] cv_auc=0.868847 +/- 0.002002 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[131/162] cv_auc=0.870516 +/- 0.001806 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[132/162] cv_auc=0.869688 +/- 0.001657 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[133/162] cv_auc=0.868227 +/- 0.002193 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[134/162] cv_auc=0.868176 +/- 0.002331 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[135/162] cv_auc=0.869657 +/- 0.002131 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[136/162] cv_auc=0.869330 +/- 0.001682 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[137/162] cv_auc=0.870516 +/- 0.001806 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[138/162] cv_auc=0.869688 +/- 0.001657 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[139/162] cv_auc=0.870105 +/- 0.001520 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[140/162] cv_auc=0.869792 +/- 0.001769 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[141/162] cv_auc=0.870361 +/- 0.001602 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[142/162] cv_auc=0.869902 +/- 0.001879 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
[143/162] cv_auc=0.870013 +/- 0.001963 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[144/162] cv_auc=0.869440 +/- 0.002022 params={'n_estimators': 400, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2'}
[145/162] cv_auc=0.870856 +/- 0.001030 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[146/162] cv_auc=0.871109 +/- 0.001132 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}
[147/162] cv_auc=0.871562 +/- 0.001198 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[148/162] cv_auc=0.871398 +/- 0.001324 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2'}
[149/162] cv_auc=0.870932 +/- 0.001169 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[150/162] cv_auc=0.869776 +/- 0.001411 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2'}
[151/162] cv_auc=0.871041 +/- 0.001151 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[152/162] cv_auc=0.871503 +/- 0.000798 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}
[153/162] cv_auc=0.871492 +/- 0.001589 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[154/162] cv_auc=0.871127 +/- 0.001376 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}
[155/162] cv_auc=0.870932 +/- 0.001169 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}
[156/162] cv_auc=0.869776 +/- 0.001411 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}
[157/162] cv_auc=0.870880 +/- 0.001068 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}
[158/162] cv_auc=0.871274 +/- 0.000965 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2'}
[159/162] cv_auc=0.871169 +/- 0.001143 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}
[160/162] cv_auc=0.871024 +/- 0.001352 params={'n_estimators': 400, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2'}
